Label (Normalisé),Adresses,Quantité Totale,Pourcentage Supply,Locked or Not Locked
Helios Fundation,0xf948be20f0b732994f14027d9a04A46a74393c06,1197499733.999999999999999999,23.949995,Locked
Helios Team,0x5F0Cf2D3738E67BbA660D354E8483977bC61Ba68,750000000,15.000000,Locked
Helios Community,0x53Cf9DD4db705b2e15C1027B74699C361c27bEDD,500000000,10.000000,Locked
Helios Funds,0x3F83181F3B5B46186307Ed1b45639b429B30a271,467798296.157973809883008246,9.355966,Locked
Helios Advisors,0x825fe6Db349d3A020c588D8f748A14f182DA84c8,250000000,5.000000,Locked
Helios Airdrop,0xb25c18bC0763B5CEE424aDBF3078c9C284E38cCF,250000000,5.000000,Locked
Kucoin,0x58edF78281334335EfFa23101bBe3371b6a36A51; 0x086A1ac050206449E67CBa362ABf68e511AaB151; 0x2677C4c8757dA1857CC7cc4071E0E0Dd32ccb975,35602184.874084753294399876,0.712044,Not Locked
PAD - DAO MAKER,0x4dE835d10b47633201F6c867A96E5aF23609a460; 0x8C1476022a96151a4896670870FcA759E2D7FaE9; 0xB96c2Ab59360681bFc68570b54555957D57773a3,24840032.084070296,0.496801,Not Locked
PAD - Polkastarter,0x5860DcbE3F089DeF78518c6fC177daf235052364,17500000,0.350000,Not Locked
PAD - Finceptor,0x6f06D14897f7756ef476fedb51DdCb4ddb28299C; 0x7236ed8A2f63c0E5A2B5DdB8445d9A43382A2fd7; 0xDF5432e41DC6ED2e6B821253e18a711ae614B24c,13510872.65000065235900005,0.270217,Not Locked
MEXC,0x9642b23Ed1E01Df1092B92641051881a322F5D4E,11267939.605489606114200577,0.225359,Not Locked
PAD - Huostarter,0xbeC00b5584e5F3b62b44e10c6daE58094456753f (PAD - Huostarter fees locked); 0xAe1B85C136be5bb66EE793725e528e2ca1F54dF4,7572250,0.151445,Not Locked
BingX,0x2b3bf74B29f59fb8dDA41Cf3d6A8DA28CF8e7921,6869117.19515706,0.137382,Not Locked
PAD - CoinTerminal Kol (Locked for Ever),0x91082A13Fbc4f7BF04554fE1323468B48646fAce,5086584,0.101732,Not Locked
